"Sample_Name","Fraction","Percent","Size","percent_finer","below_50","above_50","keep"
"EC_037_all","Percent_Coarse_Sand",89.3,2,100,FALSE,TRUE,TRUE
"EC_038_all","Percent_Coarse_Sand",80.5,2,100,FALSE,TRUE,TRUE
"EC_039_all","Percent_Coarse_Sand",67.9,2,100,FALSE,TRUE,TRUE
"EC_041_all","Percent_Coarse_Sand",55,2,100,FALSE,TRUE,TRUE
"EC_042_all","Percent_Coarse_Sand",77,2,100,FALSE,TRUE,TRUE
"EC_043_all","Percent_Coarse_Sand",93.1,2,100,FALSE,TRUE,TRUE
"EC_044_all","Percent_Coarse_Sand",59.7,2,100,FALSE,TRUE,TRUE
"EC_045_all","Percent_Coarse_Sand",81.4,2,100,FALSE,TRUE,TRUE
"EC_047_all","Percent_Coarse_Sand",52.3,2,100,FALSE,TRUE,TRUE
"EC_048_all","Percent_Coarse_Sand",66.8,2,100,FALSE,TRUE,TRUE
"EC_049_all","Percent_Coarse_Sand",80.9,2,100,FALSE,TRUE,TRUE
"EC_051_all","Percent_Coarse_Sand",72,2,100,FALSE,TRUE,TRUE
"EC_053_all","Percent_Coarse_Sand",75.2,2,100,FALSE,TRUE,TRUE
"EC_054_all","Percent_Coarse_Sand",63,2,100,FALSE,TRUE,TRUE
"EC_055_all","Percent_Coarse_Sand",75.2,2,100,FALSE,TRUE,TRUE
"EC_056_all","Percent_Coarse_Sand",70.2,2,100,FALSE,TRUE,TRUE
"EC_058_all","Percent_Coarse_Sand",74.7,2,100,FALSE,TRUE,TRUE
"EC_059_all","Percent_Coarse_Sand",91.3,2,100,FALSE,TRUE,TRUE
"EC_060_all","Percent_Coarse_Sand",78.5,2,100,FALSE,TRUE,TRUE
"EC_061_all","Percent_Coarse_Sand",86.9,2,100,FALSE,TRUE,TRUE
"EC_062_all","Percent_Coarse_Sand",82.6,2,100,FALSE,TRUE,TRUE
"EC_064_all","Percent_Coarse_Sand",67.7,2,100,FALSE,TRUE,TRUE
"EC_066_all","Percent_Coarse_Sand",94.5,2,100,FALSE,TRUE,TRUE
"EC_069_all","Percent_Coarse_Sand",83.3,2,100,FALSE,TRUE,TRUE
"EC_073_all","Percent_Coarse_Sand",87.1,2,100,FALSE,TRUE,TRUE
"EC_074_all","Percent_Coarse_Sand",75.9,2,100,FALSE,TRUE,TRUE
"EC_077_all","Percent_Coarse_Sand",84.8,2,100,FALSE,TRUE,TRUE
"EC_079_all","Percent_Coarse_Sand",52.6,2,100,FALSE,TRUE,TRUE
"EC_083_all","Percent_Coarse_Sand",78.7,2,100,FALSE,TRUE,TRUE
"EC_084_all","Percent_Coarse_Sand",93.6,2,100,FALSE,TRUE,TRUE
"EC_092_all","Percent_Coarse_Sand",56.4,2,100,FALSE,TRUE,TRUE
"EC_093_all","Percent_Coarse_Sand",82.3,2,100,FALSE,TRUE,TRUE
"EC_096_all","Percent_Coarse_Sand",91.1,2,100,FALSE,TRUE,TRUE
"EC_097_all","Percent_Coarse_Sand",59.3,2,100,FALSE,TRUE,TRUE
"EC_100_all","Percent_Coarse_Sand",93.9,2,100,FALSE,TRUE,TRUE
"EC_101_all","Percent_Coarse_Sand",86.6,2,100,FALSE,TRUE,TRUE
"EC_102_all","Percent_Coarse_Sand",77.1,2,100,FALSE,TRUE,TRUE
"EC_108_all","Percent_Coarse_Sand",61.3,2,100,FALSE,TRUE,TRUE
"EC_110_all","Percent_Coarse_Sand",57.5,2,100,FALSE,TRUE,TRUE
"EC_111_all","Percent_Coarse_Sand",77.9,2,100,FALSE,TRUE,TRUE
"EC_112_all","Percent_Coarse_Sand",64.6,2,100,FALSE,TRUE,TRUE
"EC_113_all","Percent_Coarse_Sand",73.9,2,100,FALSE,TRUE,TRUE
"EC_116_all","Percent_Coarse_Sand",76.3,2,100,FALSE,TRUE,TRUE
"EC_117_all","Percent_Coarse_Sand",79.9,2,100,FALSE,TRUE,TRUE
